               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.020171,            0.032809,           0.0020609,             0.75688,             0.61292,             0.59265,              0.3897,            0.022861,            0.034893,           0.0060551,             0.00541,             0.00541,             0.00541
                 104,             0.01965,            0.031166,           0.0019876,             0.78347,             0.59739,             0.60405,             0.39134,            0.023753,            0.034884,           0.0059914,            0.005365,            0.005365,            0.005365
                 105,            0.019566,            0.031223,           0.0020101,             0.78555,             0.59897,             0.60926,              0.3929,            0.022777,            0.034299,           0.0060238,             0.00532,             0.00532,             0.00532
                 106,            0.019433,            0.031472,           0.0020275,              0.7628,              0.5799,              0.5815,             0.37003,            0.024006,            0.035046,           0.0060661,            0.005275,            0.005275,            0.005275
                 107,            0.019654,            0.031177,           0.0022302,             0.74938,             0.59614,             0.57975,             0.38795,            0.022336,             0.03417,            0.005798,             0.00523,             0.00523,             0.00523
                 108,            0.019939,            0.032884,           0.0021732,             0.76874,              0.5848,             0.59073,              0.3944,            0.023129,            0.034546,           0.0057018,            0.005185,            0.005185,            0.005185
                 109,            0.019449,            0.032399,           0.0019782,             0.78124,             0.58613,             0.59248,             0.40834,            0.022474,            0.035177,           0.0056396,             0.00514,             0.00514,             0.00514
                 110,            0.019478,            0.033492,           0.0021762,             0.79318,             0.57553,             0.61365,             0.39696,            0.023789,            0.034901,           0.0057346,            0.005095,            0.005095,            0.005095
                 111,            0.019256,            0.030885,           0.0018494,             0.80052,             0.56438,             0.65038,             0.43767,            0.022605,             0.03434,           0.0059235,             0.00505,             0.00505,             0.00505
                 112,            0.019368,            0.032614,           0.0019695,             0.80198,             0.56944,             0.62479,             0.41137,            0.023216,            0.034625,           0.0059162,            0.005005,            0.005005,            0.005005
                 113,            0.019037,            0.031576,           0.0018445,             0.79348,             0.57755,             0.64331,             0.43009,            0.022585,            0.034744,           0.0057571,             0.00496,             0.00496,             0.00496
                 114,             0.01819,            0.030917,           0.0019471,             0.80053,              0.5749,             0.63804,             0.42531,            0.022768,            0.035697,           0.0056883,            0.004915,            0.004915,            0.004915
                 115,            0.018697,            0.030681,           0.0019996,             0.78457,             0.58753,             0.64764,             0.43883,            0.021855,            0.035417,           0.0057922,             0.00487,             0.00487,             0.00487
                 116,             0.01835,            0.031031,           0.0019426,             0.76326,             0.61131,             0.63924,             0.42227,             0.02301,            0.035468,           0.0058899,            0.004825,            0.004825,            0.004825
                 117,            0.018435,             0.02892,           0.0019749,             0.76884,              0.6078,             0.60573,             0.40256,             0.02237,            0.034893,            0.006105,             0.00478,             0.00478,             0.00478
                 118,            0.018462,            0.030655,           0.0019645,             0.74429,             0.63556,             0.65084,             0.43638,             0.02264,             0.03449,           0.0056721,            0.004735,            0.004735,            0.004735
                 119,            0.018155,            0.030073,           0.0018539,             0.80266,             0.57738,             0.65589,             0.44654,            0.022678,            0.035047,           0.0053732,             0.00469,             0.00469,             0.00469
                 120,            0.017588,            0.030544,           0.0021398,             0.80833,             0.56619,             0.62731,             0.41354,            0.022823,            0.035759,           0.0053595,            0.004645,            0.004645,            0.004645
                 121,            0.017583,            0.029539,           0.0018083,              0.7849,             0.59395,             0.63327,             0.42952,            0.021997,            0.035203,            0.005345,              0.0046,              0.0046,              0.0046
